,小区名字,总价,户型,建筑面积,单价,朝向,楼层,装修,区域
0,中天北湾新城,89万,2室2厅1卫,89平米,10000元/平米,南北,低层,毛坯,高新
1,桦林苑,99.8万,3室2厅1卫,143平米,6979元/平米,南北,中层,毛坯,净月
2,嘉柏湾,32万,1室1厅1卫,43.3平米,7390元/平米,南,高层,精装修,经开
3,中环12区,51.5万,2室1厅1卫,57平米,9035元/平米,南北,高层,精装修,南关
4,昊源高格蓝湾,210万,3室2厅2卫,160.8平米,13060元/平米,南北,高层,精装修,二道
5,金色橄榄城,118万,3室1厅1卫,200平米,5900元/平米,南北,高层,简装修,二道
6,新星宇和润,84万,2室1厅1卫,75.06平米,11191元/平米,南北,高层,精装修,南关
7,长电紫盈花城,96万,2室2厅1卫,90平米,10667元/平米,南北,中层,精装修,二道
8,万科上东区,107万,3室2厅1卫,99.44平米,10760元/平米,南,中层,精装修,二道
9,中海莱茵东郡,205万,3室2厅2卫,156平米,13141元/平米,南北,高层,精装修,净月
10,诺睿德国际商务广场,105万,3室2厅1卫,92.7平米,11327元/平米,南北,中层,精装修,净月
11,华润橡树湾,198万,4室2厅2卫,142.1平米,13934元/平米,南北,中层,精装修,南关
12,二二八厂宿舍,65万,2室1厅1卫,62.93平米,10329元/平米,南北,高层,简装修,朝阳
13,平阳小区,56万,2室1厅1卫,70.1平米,7989元/平米,南北,中层,精装修,南关
14,上东城市之光,85万,2室1厅1卫,89平米,9551元/平米,南北,中层,精装修,二道
15,中海国际社区,285万,4室3厅3卫,169.2平米,16844元/平米,东,高层,暂无,净月
16,中海净月华庭,115万,2室2厅1卫,86.1平米,13357元/平米,西北,中层,精装修,净月
17,隆礼小区,97万,3室1厅1卫,104平米,9327元/平米,南北,中层,精装修,朝阳
18,融创上城,205万,3室2厅2卫,167平米,12275元/平米,南北,高层,豪华装修,高新
19,龙首壹号院,290万,4室2厅3卫,280平米,10357元/平米,南北,中层,豪华装修,南关
20,华润橡府,400万,2室2厅2卫,209平米,19139元/平米,南北,低层,毛坯,南关
21,华润凯旋门,120万,2室2厅1卫,91平米,13187元/平米,南北,低层,精装修,高新
22,金桥花园,115万,2室2厅1卫,128.63平米,8940元/平米,南北,中层,精装修,南关
23,金穗花园,119万,3室2厅2卫,130.45平米,9122元/平米,南北,高层,豪华装修,净月
24,中海水岸春城,148万,3室2厅1卫,121.67平米,12164元/平米,东,中层,暂无,净月
25,富豪花园,89.9万,2室2厅1卫,93平米,9667元/平米,南北,低层,精装修,朝阳
26,锦江花园二区,37万,1室1厅1卫,50平米,7400元/平米,南,中层,简装修,绿园
27,晟鑫康诗丹郡,125万,3室2厅2卫,130平米,9615元/平米,南北,高层,毛坯,净月
28,我的家园,105万,3室2厅2卫,148平米,7095元/平米,南北,低层,精装修,南关
29,新星宇和润,95.8万,2室2厅1卫,89.5平米,10704元/平米,东,高层,暂无,南关
30,新奥蓝城,128万,2室2厅1卫,101平米,12673元/平米,南北,中层,中装修,绿园
31,天嘉水晶城,125万,3室2厅2卫,139.34平米,8971元/平米,南北,中层,精装修,绿园
32,中天北湾新城,70万,2室2厅1卫,82平米,8537元/平米,南北,中层,毛坯,高新
33,万龙原色生活,81万,2室1厅1卫,84平米,9643元/平米,东西,中层,精装修,南关
34,锦江花园一区,85万,2室1厅1卫,109平米,7798元/平米,南北,中层,豪华装修,绿园
35,至善小区,95万,2室2厅1卫,108平米,8796元/平米,南北,高层,精装修,南关
36,万龙银河城,41万,2室2厅1卫,62平米,6613元/平米,南,中层,简装修,宽城
37,吴中家天下,110万,2室2厅1卫,86平米,12791元/平米,南北,中层,精装修,二道
38,新星宇和悦,78万,2室1厅1卫,65.1平米,11982元/平米,南北,高层,精装修,高新
39,东方之珠凤栖苑,90万,2室1厅1卫,95平米,9474元/平米,南北,高层,精装修,二道
40,万科东湾半岛,46万,2室1厅1卫,55平米,8364元/平米,西,高层,精装修,南关
41,吉盛小区,51万,1室1厅1卫,55平米,9273元/平米,南北,中层,精装修,二道
42,福临家园,110万,2室2厅2卫,130.7平米,8416元/平米,南北,高层,豪华装修,经开
43,远洋戛纳小镇,107万,2室2厅1卫,89.5平米,11955元/平米,南北,高层,精装修,净月
44,保利香槟,140万,2室2厅1卫,90平米,15556元/平米,南北,低层,精装修,净月
45,中海国际社区,160万,3室2厅2卫,136.1平米,11756元/平米,南北,中层,精装修,净月
46,中海国际社区别墅,680万,4室3厅3卫,260平米,26154元/平米,东,低层,豪华装修,经开
47,亚泰樱花苑,41万,2室1厅1卫,50.5平米,8119元/平米,南北,中层,精装修,二道
48,奥体玉园,126万,3室2厅2卫,126平米,10000元/平米,南北,低层,精装修,高新
49,新嘉坡城,103万,2室2厅1卫,108平米,9537元/平米,南北,中层,精装修,净月
50,东方万达城,100万,2室2厅1卫,108平米,9259元/平米,南北,中层,精装修,经开
51,中海国际社区,107万,2室2厅1卫,88.38平米,12107元/平米,南北,中层,精装修,净月
52,嘉惠红山郡,76万,2室2厅1卫,76.28平米,9963元/平米,南北,低层,简装修,经开
53,枫林园,45万,1室1厅1卫,41平米,10976元/平米,南北,高层,精装修,二道
54,万龙台北明珠,89万,3室2厅1卫,106平米,8396元/平米,南北,高层,毛坯,宽城
55,怡众名城,65万,1室1厅1卫,58.1平米,11188元/平米,南北,中层,精装修,高新
56,万龙台北明珠,36.4万,1室1厅1卫,52平米,7000元/平米,南,中层,毛坯,宽城
57,桂林路清华苑,170万,3室2厅2卫,220平米,7727元/平米,南北,高层,精装修,朝阳
58,领秀蓝珀湖,109万,2室2厅1卫,83.8平米,13007元/平米,南北,高层,精装修,高新
59,香港城,61万,1室1厅1卫,59平米,10339元/平米,南,低层,精装修,绿园
60,吴中印象二期,125万,2室2厅1卫,103平米,12136元/平米,西北,高层,精装修,宽城
0,中顺福苑,67万,2室1厅1卫,74.94平米,8940元/平米,南北,中层,精装修,二道
1,远创樾府,103万,2室2厅1卫,84平米,12262元/平米,南北,中层,豪华装修,汽开
2,御景名都,72万,2室2厅1卫,75.11平米,9586元/平米,南北,高层,精装修,二道
3,西安花园,48万,2室1厅1卫,60平米,8000元/平米,南北,低层,精装修,绿园
4,益和国际城,75万,3室2厅1卫,95.11平米,7886元/平米,南北,低层,精装修,宽城
5,转向机宿舍,56万,2室2厅1卫,75平米,7467元/平米,南北,低层,精装修,二道
6,亚泰花园杏花苑,76.8万,2室2厅1卫,87平米,8828元/平米,南北,中层,精装修,二道
7,华大城,63万,2室2厅1卫,85平米,7412元/平米,东,中层,暂无,宽城
8,市政府宿舍,59.8万,2室1厅1卫,65平米,9200元/平米,南,中层,精装修,南关
9,万科上东区,75万,2室2厅1卫,105平米,7143元/平米,南北,中层,精装修,二道
10,天嘉水晶城,230万,2室2厅1卫,188平米,12234元/平米,南北,低层,毛坯,绿园
11,亚泰花园桃花苑,130万,3室2厅2卫,150平米,8667元/平米,南北,高层,精装修,二道
12,吉大菲尔瑞特,56万,1室1厅1卫,56平米,10000元/平米,南,高层,精装修,高新
13,长电紫盈花城,29.5万,1室1厅1卫,37.58平米,7850元/平米,西,中层,精装修,二道
14,万科蓝山,160万,3室2厅2卫,120.99平米,13224元/平米,南北,中层,精装修,二道
15,中海水岸春城,82万,2室2厅1卫,90平米,9111元/平米,南北,低层,精装修,净月
16,中天北湾新城,102万,2室2厅1卫,94.6平米,10782元/平米,南北,低层,精装修,高新
17,绿园小区,39.8万,2室1厅1卫,56.17平米,7086元/平米,南北,高层,精装修,绿园
18,万鑫花园,75万,2室2厅1卫,86.81平米,8640元/平米,南北,中层,精装修,绿园
19,四分局吉大家属楼,105万,2室1厅1卫,70平米,15000元/平米,南,中层,精装修,朝阳
20,东安加州枫景,149万,3室2厅1卫,107平米,13925元/平米,南北,低层,精装修,净月
21,郡望安石,122万,3室2厅1卫,106.56平米,11449元/平米,南北,低层,精装修,宽城
22,金色橄榄城,86万,2室2厅1卫,84.9平米,10130元/平米,南北,低层,精装修,二道
23,郁金花园,104万,2室2厅1卫,115平米,9043元/平米,南北,低层,中装修,二道
24,领秀朝阳,55万,1室1厅1卫,52平米,10577元/平米,南,中层,精装修,朝阳
25,万龙城,65.8万,3室2厅1卫,94平米,7000元/平米,南北,高层,毛坯,南关
26,乐东小区,47.8万,2室1厅1卫,62平米,7710元/平米,南,高层,中装修,经开
27,新筑一品,80万,2室2厅1卫,90平米,8889元/平米,暂无,中层,精装修,经开
28,筑业阳光经典,36万,1室1厅1卫,43平米,8372元/平米,东,低层,精装修,高新
29,伟业星城,150万,3室2厅2卫,130平米,11538元/平米,南北,低层,精装修,朝阳
30,东安开运福里,102万,3室1厅1卫,96平米,10625元/平米,南,中层,简装修,朝阳
31,伟业星城,65万,2室1厅1卫,64.77平米,10036元/平米,南北,高层,精装修,朝阳
32,松苑小区,78.8万,2室2厅1卫,86平米,9163元/平米,南北,低层,豪华装修,二道
33,月伴林湾,30万,1室1厅1卫,44平米,6818元/平米,暂无,中层,精装修,经开
34,中海蘭庭,245万,3室2厅2卫,167.1平米,14662元/平米,南北,低层,豪华装修,高新
35,中海寰宇天下,71万,2室1厅1卫,74.26平米,9561元/平米,南北,中层,精装修,经开
